省,城市,链接,行政区,小区,均价,地址,lng,lat,gclng,gclat,wgs84lng,wgs84lat,物业类型,权属类别,竣工时间,产权年限,户数,总建筑面积,容积率,绿化率,建筑类型,商圈,水电,停车位,物业费,停车费,车位管理费,物业公司,开发商
山西,太原,https://ty.anjuke.com/community/view/1259459,清徐,马峪中学小区,1950,清徐 - 马峪乡 - 文源路,112.337262,37.624244,112.330856,37.617959,112.324315,37.617201,公寓住宅,商品房住宅,2010年竣工,70年,168户,暂无,1.2,0.3,多层, 马峪乡 ,民用,100(1:0.6),0.50元/平米/月,地面300.00元/月,地面300.00元/月,业主自管,单位自建
山西,太原,https://ty.anjuke.com/community/view/809274,清徐,西马峪小区,1950,清徐 - 马峪乡 - 八一路94号,112.315118,37.626677,112.308712,37.620398,112.302219,37.619681,公寓住宅,商品房住宅,2000年竣工,70年,442户,暂无,2,0.3,多层|高层, 马峪乡 ,民用,100(1:0.2),0.50元/平米/月,地面300.00元/月,地面300.00元/月,业主自管,单位自建
山西,太原,https://ty.anjuke.com/community/view/1305334,古交,汾东苑,1950,"古交 - 古交城区 - 滨河北路,近古钢东路",112.229594,37.92582,112.223134,37.919701,112.216628,37.919039,公寓住宅,商品房住宅,2015年竣工,70年,120户,暂无,1.5,0.3,小高层, 古交城区 ,民用,暂无,1.00元/平米/月,地面150.00元/月,地面150.00元/月,业主自管,单位自建
山西,太原,https://ty.anjuke.com/community/view/1259271,古交,水泥厂宿舍(河扫线),1950,古交 - 古交城区 - 河扫线,112.234504,37.934765,112.228007,37.928727,112.221507,37.928073,公寓住宅,单位集体自建房,1998年竣工,70年,120户,暂无,1.2,0.2,多层, 古交城区 ,民用,80(1:0.7),0.50元/平米/月,地面300.00元/月,地面300.00元/月,业主自管,单位自建
山西,太原,https://ty.anjuke.com/community/view/1298604,小店,张花营村自建房,1957,小店 - 通达街 - 三一六省道,112.557924,37.627969,112.551528,37.621665,112.545248,37.621114,暂无,集体租赁住房和城中村,暂无,70年,暂无,暂无,1.2,暂无,多层, 通达街 ,暂无,暂无,暂无,暂无,暂无,暂无,暂无
山西,太原,https://ty.anjuke.com/community/view/1307487,尖草坪,歇子寨村自建房,1957,尖草坪 - 南寨 - 二广高速,112.602658,37.987572,112.596123,37.98168,112.58987,37.981227,暂无,集体租赁住房和城中村,暂无,70年,暂无,暂无,0.5,暂无,低层, 南寨 ,暂无,暂无,暂无,暂无,暂无,暂无,暂无
山西,太原,https://ty.anjuke.com/community/view/1366451,尖草坪,大留村自建房,1957,尖草坪 - 尖草坪周边 - 汾泉路,112.454068,37.993622,112.44768,37.987313,112.441019,37.98653,暂无,集体租赁住房和城中村,暂无,70年,暂无,暂无,0.5,暂无,低层, 尖草坪周边 ,暂无,暂无,暂无,暂无,暂无,暂无,暂无
山西,太原,https://ty.anjuke.com/community/view/1318904,小店,小北格村自建房,1971,小店 - 通达街 - 小刘线,112.555133,37.65721,112.548745,37.650937,112.542455,37.650378,暂无,集体租赁住房和城中村,暂无,70年,暂无,暂无,0.5,暂无,低层, 通达街 ,暂无,暂无,暂无,暂无,暂无,暂无,暂无
山西,太原,https://ty.anjuke.com/community/view/1289767,小店,宋环村自建房,1978,小店 - 通达街 - 小牛线,112.578041,37.696246,112.571624,37.689965,112.56538,37.689449,暂无,集体租赁住房和城中村,暂无,70年,暂无,暂无,1.2,暂无,多层, 通达街 ,暂无,暂无,暂无,暂无,暂无,暂无,暂无
山西,太原,https://ty.anjuke.com/community/view/1477407,晋源,花塔村自建房,1978,晋源 - 晋祠 - 贞观街,112.467881,37.729063,112.461416,37.722911,112.454819,37.722114,暂无,集体租赁住房和城中村,暂无,70年,暂无,暂无,0.5,暂无,低层, 晋祠 ,暂无,暂无,暂无,暂无,暂无,暂无,暂无
